,COMPNOS,INCIDENT_TYPE_DESCRIPTION,FROMDATE,Year,Month,DAY_WEEK,STREETNAME,Location
163,120421923.0,FRAUD,07/08/2012 10:00:00 PM,2012,7,Sunday,VINTON ST,"(42.32995779, -71.0536659)"
164,120426307.0,PhoneCalls,07/08/2012 10:00:00 PM,2012,7,Sunday,MONADNOCK ST,"(42.31629339, -71.06864178)"
165,120421875.0,VANDALISM,07/08/2012 10:00:00 PM,2012,7,Sunday,ALBERT ST,"(42.33367135, -71.09315455)"
166,120420631.0,AGGRAVATED ASSAULT,07/08/2012 10:05:00 PM,2012,7,Sunday,WHITMAN ST,"(42.28702136, -71.07707955)"
167,120420581.0,SIMPLE ASSAULT,07/08/2012 10:10:00 PM,2012,7,Sunday,MEDFORD ST,"(42.37928715, -71.0579425)"
168,120420634.0,SIMPLE ASSAULT,07/08/2012 10:10:00 PM,2012,7,Sunday,WHITFIELD ST,"(42.29433636, -71.07544956)"
169,120421188.0,VANDALISM,07/08/2012 10:30:00 PM,2012,7,Sunday,ELMHURST ST,"(42.28974136, -71.07689956)"
170,120420664.0,SIMPLE ASSAULT,07/08/2012 10:40:00 PM,2012,7,Sunday,RICHMOND ST,"(42.36354634, -71.05453956)"
171,120420647.0,SIMPLE ASSAULT,07/08/2012 10:45:00 PM,2012,7,Sunday,MAVERICK ST,"(42.36829134, -71.03476958)"
172,120420688.0,AGGRAVATED ASSAULT,07/08/2012 10:56:00 PM,2012,7,Sunday,HAMILTON ST,"(42.30815635, -71.06966456)"
173,120420689.0,SIMPLE ASSAULT,07/08/2012 10:58:00 PM,2012,7,Sunday,WARREN ST,"(42.31864846, -71.0816326)"
174,120421006.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 11:00:00 PM,2012,7,Sunday,KNEELAND ST,"(42.35055135, -71.06148957)"
175,120421570.0,VANDALISM,07/08/2012 11:00:00 PM,2012,7,Sunday,JAMAICA ST,"(42.30627136, -71.11505955)"
176,120423962.0,PropLost,07/08/2012 11:00:00 PM,2012,7,Sunday,LANSDOWNE ST,"(42.34716136, -71.09599455)"
177,120420719.0,InvPer,07/08/2012 11:20:00 PM,2012,7,Sunday,ALBANY ST,"(42.34301135, -71.06259956)"
178,120423791.0,TOWED,07/08/2012 11:23:00 PM,2012,7,Sunday,LINCOLN ST,"(42.35776135, -71.13938953)"
179,120424841.0,RESIDENTIAL BURGLARY,07/08/2012 11:30:00 PM,2012,7,Sunday,CHILD ST,"(42.25678059, -71.12916296)"
180,120422045.0,OTHER LARCENY,07/08/2012 11:30:00 PM,2012,7,Sunday,BROAD ST,"(42.35914634, -71.05461456)"
181,120421523.0,SIMPLE ASSAULT,07/08/2012 11:39:00 PM,2012,7,Sunday,WASHINGTON ST,"(42.33676635, -71.07665456)"
182,120422436.0,VANDALISM,07/09/2012 12:00:00 AM,2012,7,Monday,BACK ST,"(0.0, 0.0)"
183,120431631.0,FRAUD,07/09/2012 12:00:00 AM,2012,7,Monday,E 9TH ST,"(42.33215635, -71.05121456)"
184,120421183.0,LARCENY FROM MOTOR VEHICLE,07/09/2012 12:01:00 AM,2012,7,Monday,SOUTH ST,"(42.35184134, -71.05719456)"
185,120420818.0,MVAcc,07/09/2012 12:05:00 AM,2012,7,Monday,BOWDOIN ST,"(42.30066136, -71.07204957)"
186,120420802.0,MVAcc,07/09/2012 12:30:00 AM,2012,7,Monday,MASSACHUSETTS AV,"(42.32854635, -71.06836455)"
187,120420825.0,MedAssist,07/09/2012 12:46:00 AM,2012,7,Monday,DORCHESTER AV,"(42.31246635, -71.05733456)"
188,120420843.0,Ballist,07/09/2012 12:57:00 AM,2012,7,Monday,CUMMINS HY,"(42.27042435, -71.10009512)"
189,120422315.0,OTHER LARCENY,07/09/2012 01:00:00 AM,2012,7,Monday,DORCHESTER AV,"(42.30468635, -71.05908456)"
190,120420871.0,MVAcc,07/09/2012 01:14:00 AM,2012,7,Monday,VINELAND ST,"(42.35738574, -71.15083854)"
191,120420873.0,VAL,07/09/2012 01:15:00 AM,2012,7,Monday,AMERICAN LEGION HY,"(42.28774136, -71.10679955)"
192,120420900.0,VAL,07/09/2012 01:22:00 AM,2012,7,Monday,SOUTHAMPTON ST,"(42.33215635, -71.07041456)"
193,120420886.0,VANDALISM,07/09/2012 01:26:00 AM,2012,7,Monday,ITASCA ST,"(42.27559322, -71.10032375)"
194,120420896.0,SkipFare,07/09/2012 01:30:00 AM,2012,7,Monday,ASTORIA ST,"(42.28019636, -71.08690956)"
195,120421012.0,PropFound,07/09/2012 01:40:00 AM,2012,7,Monday,TREMONT ST,"(42.34969134, -71.06520956)"
196,120420903.0,AGGRAVATED ASSAULT,07/09/2012 01:41:00 AM,2012,7,Monday,TREMONT ST,"(42.34969134, -71.06520956)"
197,120420958.0,SIMPLE ASSAULT,07/09/2012 02:49:00 AM,2012,7,Monday,TREMONT ST,"(42.34969134, -71.06520956)"
