ObjectID,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
167,120420581,SIMPLE ASSAULT,900,7/8/12 22:10,2012,7,Sunday,775606.1433,2963551.393,MEDFORD ST,"(42.37928715, -71.0579425)"
168,120420634,SIMPLE ASSAULT,448,7/8/12 22:10,2012,7,Sunday,771030.0415,2932569.763,WHITFIELD ST,"(42.29433636, -71.07544956)"
169,120421188,VANDALISM,437,7/8/12 22:30,2012,7,Sunday,770646.0486,2930893.329,ELMHURST ST,"(42.28974136, -71.07689956)"
170,120420664,SIMPLE ASSAULT,91,7/8/12 22:40,2012,7,Sunday,776555.5321,2957819.906,RICHMOND ST,"(42.36354634, -71.05453956)"
171,120420647,SIMPLE ASSAULT,30,7/8/12 22:45,2012,7,Sunday,781889.0301,2959577.598,MAVERICK ST,"(42.36829134, -71.03476958)"
172,120420688,AGGRAVATED ASSAULT,335,7/8/12 22:56,2012,7,Sunday,772569.7675,2937613.822,HAMILTON ST,"(42.30815635, -71.06966456)"
173,120420689,SIMPLE ASSAULT,311,7/8/12 22:58,2012,7,Sunday,769313.7572,2941421.212,WARREN ST,"(42.31864846, -71.0816326)"
174,120421006,LARCENY FROM MOTOR VEHICLE,116,7/8/12 23:00,2012,7,Sunday,774701.6076,2953074.545,KNEELAND ST,"(42.35055135, -71.06148957)"
175,120421570,VANDALISM,650,7/8/12 23:00,2012,7,Sunday,760293.8907,2936868.216,JAMAICA ST,"(42.30627136, -71.11505955)"
176,120423962,PropLost,624,7/8/12 23:00,2012,7,Sunday,765380.3957,2951793.104,LANSDOWNE ST,"(42.34716136, -71.09599455)"
177,120420719,InvPer,158,7/8/12 23:20,2012,7,Sunday,774415.6545,2950325.289,ALBANY ST,"(42.34301135, -71.06259956)"
178,120423791,TOWED,808,7/8/12 23:23,2012,7,Sunday,753633.2873,2955603.38,LINCOLN ST,"(42.35776135, -71.13938953)"
179,120424841,RESIDENTIAL BURGLARY,543,7/8/12 23:30,2012,7,Sunday,756557.3211,2918816.141,CHILD ST,"(42.25678059, -71.12916296)"
180,120422045,OTHER LARCENY,101,7/8/12 23:30,2012,7,Sunday,776543.6355,2956216.355,BROAD ST,"(42.35914634, -71.05461456)"
181,120421523,SIMPLE ASSAULT,170,7/8/12 23:39,2012,7,Sunday,770627.2848,2948030.326,WASHINGTON ST,"(42.33676635, -71.07665456)"
183,120431631,FRAUD,915,7/9/12 0:00,2012,7,Monday,777514.316,2946385.527,E 9TH ST,"(42.33215635, -71.05121456)"
184,120421183,LARCENY FROM MOTOR VEHICLE,115,7/9/12 0:01,2012,7,Monday,775860.1503,2953550.643,SOUTH ST,"(42.35184134, -71.05719456)"
185,120420818,MVAcc,344,7/9/12 0:05,2012,7,Monday,771938.3484,2934879.283,BOWDOIN ST,"(42.30066136, -71.07204957)"
